Id,Title,TargetMuscle,DifficultyLevel,Equipment,PrimaryMuscles,TargetMuscleDescription
1,پشت پا خوابیده دستگاه,پا,مبتدی,دستگاه,همسترینگ,همسترینگ (پشت ران)
2,پشت پا تک تک ایستاده دستگاه,پا,مبتدی,دستگاه,همسترینگ,همسترینگ (پشت ران)
3,ددلیفت دمبل,"پا,کول",متوسط,دمبل,"همسترینگ,سرینی,فیله کمر,ذوزنقه",همسترینگ و کمر
4,ددلیفت هالتر,"پا,کول",حرفه‌ای,هالتر,"همسترینگ,سرینی,فیله کمر,ذوزنقه",همسترینگ و کمر
5,پشت پا دمبل خوابیده,پا,متوسط,دمبل,همسترینگ,همسترینگ (پشت ران)
6,جلو پا دستگاه,پا,مبتدی,دستگاه,چهارسر ران,چهارسر ران (جلوی ران)
7,پرس پا خوابیده ماشین,پا,مبتدی,دستگاه,"چهارسر ران,همسترینگ,سرینی",چهارسر ران (جلوی ران)
8,هاگ پا ماشین,پا,متوسط,دستگاه,"چهارسر ران,سرینی,همسترینگ",چهارسر ران و همسترینگ
9,اسکات پا هالتر آزاد,پا,پیشرفته,هالتر,"چهارسر ران,سرینی,همسترینگ",چهارسر ران و همسترینگ
10,اسکات پا دمبل,پا,متوسط,دمبل,"چهارسر ران,سرینی,همسترینگ",چهارسر ران و همسترینگ
11,لانگز پا دمبل (تک تک),پا,متوسط,دمبل,"چهارسر ران,سرینی,همسترینگ",چهارسر ران و همسترینگ
12,داخل پا دمبل,پا,متوسط,دمبل,"همسترینگ,سرینی,عضلات داخل ران",عضلات ادداکتور (داخل ران)
13,ساق پا ایستاده دستگاه,پا,مبتدی,دستگاه,"دوقلو,نعلی",ساق پا (گاستروس)
14,داخل پا دستگاه,پا,مبتدی,دستگاه,عضلات داخل ران,ادداکتورها (داخل ران)
15,داخل پا اسمیت,پا,متوسط,دستگاه اسمیت,"همسترینگ,سرینی,عضلات داخل ران",ادداکتورها (داخل ران)
16,سی سی اسکات,پا,پیشرفته,وزن بدن,چهارسر ران,چهارسر ران و همسترینگ
17,نشر از جانب دمبل ایستاده,سرشانه,مبتدی,دمبل,دلتوئید جانبی,دلتوئید جانبی (شانه)
18,نشر از جلو دمبل تک تک ایستاده,سرشانه,مبتدی,دمبل,دلتوئید قدامی,دلتوئید جلویی (شانه)
19,نشر از جلو دمبل چکشی تک تک ایستاده,سرشانه,مبتدی,دمبل,دلتوئید قدامی,دلتوئید (شانه)
20,نشر از جلو دمبل جفت ایستاده,سرشانه,مبتدی,دمبل,دلتوئید قدامی,دلتوئید (شانه)
21,نشر از جلو دمبل چکشی جفت ایستاده,سرشانه,مبتدی,دمبل,دلتوئید قدامی,دلتوئید (شانه)
22,سرشانه هالتر ایستاده از جلو,سرشانه,متوسط,هالتر,"دلتوئید قدامی,دلتوئید جانبی",دلتوئید جلویی (شانه)
23,سرشانه هالتر ایستاده از پشت,سرشانه,پیشرفته,هالتر,"دلتوئید قدامی,دلتوئید جانبی",دلتوئید خلفی (شانه)
24,پرس سرشانه دستگاه نشسته,سرشانه,مبتدی,دستگاه,"دلتوئید قدامی,دلتوئید جانبی",شانه (دلتوئیدهای مختلف)
25,نشر از پشت دستگاه (فلای معکوس),سرشانه,مبتدی,دستگاه,دلتوئید خلفی,دلتوئید خلفی (شانه)
26,نشر از جانب سیم کش تک دست,سرشانه,متوسط,سیم‌کش,دلتوئید جانبی,دلتوئید جانبی (شانه)
27,نشر از جلو سیم کش,سرشانه,متوسط,سیم‌کش,دلتوئید قدامی,دلتوئید جلویی (شانه)
28,نشر از پشت دمبل (میز شیب دار),سرشانه,متوسط,دمبل,دلتوئید خلفی,دلتوئید خلفی (شانه)
29,نشر از جانب دمبل نشسته,سرشانه,مبتدی,دمبل,دلتوئید جانبی,دلتوئید جانبی (شانه)
30,نشر از جلو دمبل تک تک چشکی نشسته,سرشانه,مبتدی,دمبل,دلتوئید قدامی,دلتوئید جلویی (شانه)
31,نشر از جلو دمبل تک تک دست موازی نشسته,سرشانه,مبتدی,دمبل,دلتوئید قدامی,دلتوئید جلویی (شانه)
32,نشر از جلو هالتر ایستاده,سرشانه,متوسط,هالتر,دلتوئید قدامی,دلتوئید جلویی (شانه)
33,نشر از جاو هالتر ایستاده دست برعکس,سرشانه,متوسط,هالتر,دلتوئید قدامی,دلتوئید (ترکیبی شانه)
34,سرشانه اسمیت از پشت نشسته,سرشانه,متوسط,دستگاه اسمیت,"دلتوئید قدامی,دلتوئید جانبی",دلتوئید خلفی (شانه)
35,سرشانه اسمیت از جلو نشسته,سرشانه,متوسط,دستگاه اسمیت,"دلتوئید قدامی,دلتوئید جانبی",دلتوئید جلویی (شانه)
36,پرس سرشانه دمبل نشسته,سرشانه,متوسط,دمبل,"دلتوئید قدامی,دلتوئید جانبی",کلیه دلتوئیدهای شانه
37,پرس سرشانه دمبل دست موازی نشسته,سرشانه,متوسط,دمبل,"دلتوئید قدامی,دلتوئید جانبی",دلتوئید (شانه)
38,پرس سرشانه دمبل آرنولدی,سرشانه,پیشرفته,دمبل,"دلتوئید قدامی,دلتوئید جانبی",دلتوئید (کل شانه)
39,نشر از جلو هالتر نشسته,سرشانه,متوسط,هالتر,دلتوئید قدامی,دلتوئید جلویی (شانه)
40,نشر از پشت دمبل کمر خم,سرشانه,متوسط,دمبل,دلتوئید خلفی,دلتوئید خلفی (شانه)
41,نشر از جلو هالتر (میز شیب دار),سرشانه,متوسط,هالتر,دلتوئید قدامی,دلتوئید جلویی (شانه)
42,نشر از جانب سیم کش ضربدری,سرشانه,متوسط,سیم‌کش,دلتوئید جانبی,دلتوئید جانبی (شانه)
43,شراک هالتر از جلو,کول,مبتدی,هالتر,ذوزنقه,شانه (بخش جلویی)
44,شراک هالتر از پشت,کول,مبتدی,هالتر,ذوزنقه,شانه (بخش خلفی)
45,کول هالتر,"کول,سرشانه",متوسط,هالتر,"ذوزنقه,دلتوئید جانبی,دلتوئید قدامی",عضلات گردن و بالای پشت
46,کول دمبل نشسته,"کول,سرشانه",متوسط,دمبل,"ذوزنقه,دلتوئید جانبی,دلتوئید قدامی",گردن و بالای پشت
47,زیربغل دمبل کمر خم تک تک,زیربغل,متوسط,دمبل,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس)
48,پلاور دمبل,"سینه,زیربغل",متوسط,دمبل,"پشتی بزرگ,سینه (بخش بالایی)",عضلات پشتی و سینه
49,زیربغل هالتر کمر خم,زیربغل,متوسط,هالتر,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس)
50,زیر بغل هالتر کمر خم دست برعکس,زیربغل,متوسط,هالتر,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس)
51,زیربغل سیم کش دست باز از جلو,زیربغل,مبتدی,سیم‌کش,پشتی بزرگ,عضلات زیربغل (لاتس)
52,زیربغل سیم کش دست برعکس,زیربغل,مبتدی,سیم‌کش,پشتی بزرگ,عضلات زیربغل (لاتس)
53,زیربغل سیم کش دست باز از پشت,زیربغل,متوسط,سیم‌کش,پشتی بزرگ,عضلات زیربغل (لاتس)
54,زیربغل سیم کش میله دوبل,زیربغل,مبتدی,سیم‌کش,پشتی بزرگ,عضلات زیربغل (لاتس)
55,زیربغل پلاور سیم کش,زیربغل,مبتدی,سیم‌کش,پشتی بزرگ,عضلات زیربغل و پشتی
56,زیربغل سیم کش تک دست نشسته,زیربغل,متوسط,سیم‌کش,پشتی بزرگ,عضلات زیربغل (لاتس)
57,زیربغل قایقی میله دوبل,زیربغل,مبتدی,سیم‌کش,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات پشتی و زیربغل (لاتس)
58,زیربغل قایقی دست باز,زیربغل,مبتدی,سیم‌کش,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات پشتی و زیربغل (لاتس)
59,زیربغل قایقی دست برعکس,زیربغل,مبتدی,سیم‌کش,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات پشتی و زیربغل (لاتس)
60,زیربغل تی بار دستگاه نشسته,زیربغل,مبتدی,دستگاه,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات پشتی و زیربغل (لاتس)
61,زیربغل تی بار دست برعکس دستگاه نشسته,زیربغل,مبتدی,دستگاه,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس)
62,زیربغل اچ بار دستگاه نشسته,زیربغل,مبتدی,دستگاه,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس)
63,زیربغل سیم کش دوبل دست باز از جلو,زیربغل,متوسط,سیم‌کش,پشتی بزرگ,عضلات زیربغل (لاتس)
64,زیربغل قایقی میله دوبل دست باز,زیربغل,مبتدی,سیم‌کش,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس) و پشتی
65,زیربغل دمبل جفت (میز شیب دار),زیربغل,متوسط,دمبل,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس) و پشتی
66,زیربغل تی بار ماشین,زیربغل,متوسط,دستگاه,"پشتی بزرگ,ذوزنقه,دلتوئید خلفی",عضلات زیربغل (لاتس)
